Please indicate the respondent's number.,Please indicate your (interviewer's) number.,A1. My age prevents me from doing the things I would like to,A1. I feel that what happens to me is out of my control,A1. I feel free to plan for the future,A1. I feel left out of things,A1. I can do the things I want to do,A1. Family responsibilities prevent me from doing what I want to do,A1. I feel that I can please myself with what I do,A1. My health stops me from doing things I want to,A1. Shortage of money stops me from doing the things I want to do,A1. I look forward to each day,A1. I feel that my life has meaning,A1. I enjoy the things that I do,A1. I enjoy being in the company of others,"A1. On balance, I look back on my life with a sense of happiness",A1. I feel full of energy these days,A1. I choose to do things that I have never done before,A1. I am satisfied with the way my life has turned out,A1. I feel that life is full of opportunities,A1. I feel that the future looks good for me,A2. In most ways my life is close to my ideal,A2. The conditions of my life are excellent,A2. I am satisfied with my life,A2. So far I have gotten the important things I want in life,"A2. If I could live my life over, I would change almost nothing",A3. Please indicate for each of the five statements which is closet to how you have been feeling over the past two weeks - I have felt cheerful and in good spirits,A3. Please indicate for each of the five statements which is closet to how you have been feeling over the past two weeks - I have felt calm and relaxed,A3. Please indicate for each of the five statements which is closet to how you have been feeling over the past two weeks - I have felt active and vigorous,A3. Please indicate for each of the five statements which is closet to how you have been feeling over the past two weeks - I woke up feeling fresh and rested,A3. Please indicate for each of the five statements which is closet to how you have been feeling over the past two weeks - My daily life has been filled with things that interest me,B1. How many children do you have? - How many sons do you have?,B1. How many children do you have? - How many daughters do you have?,"B2. Please tell us about each of your children [if you have more than five children, please tell me about the five children you feel closest to]:

B22. Child 1 - Gender",B23. Child 1 - Year of Birth,B24. Child 1 - Marital Status,B25. Child 1 - Parenthood Status,B25a. Child 1 - Gender composition of the child’s children:,B25b. Child 1 - Age profile of the child’s children:,B26. Child 1 - Highest educational level attained:,B27. Child 1 - Employment Status,B28. Child 1 - Distance from your residence,"B3. Think about your interactions and relationships with each child in the past six months.

B31. Child 1 - How close are you to the child?",B32. Child 1 - Did you offer the child economic support?,"B32a. Child 1 - If yes, how much per month?",B33. Child 1 - How often did you help the child with housework?,B34. Child 1 - How often did you provide grandchild care to the child?,B35. Child 1 - Did the child give you economic support?,"B35a. Child 1 - If yes, how much per month?",B36. Child 1 - How often did the child help you with housework?,"B37. Child 1 - How often did the child take care of you (taking you to the doctor, etc.)?",B38. Child 1 - How often did the child spend time chatting with and listening to you?,"B2. Please tell us about Child 2.

B22. Child 2 - Gender",B23. Child 2 - Year of Birth,B24. Child 2 - Marital Status,B25. Child 2 - Parenthood Status,B25a. Child 2 - Gender composition of the child’s children:,B25b. Child 2 - Age profile of the child’s children:,B26. Child 2 - Highest educational level attained:,B27. Child 2 - Employment Status,B28. Child 2 - Distance from your residence,"B3. Think about your interactions and relationships with each child in the past six months.

B31. Child 2 - How close are you to the child?",B32. Child 2 - Did you offer the child economic support?,"B32a. Child 2 - If yes, how much per month?",B33. Child 2 - How often did you help the child with housework?,B34. Child 2 - How often did you provide grandchild care to the child?,B35. Child 2 - Did the child give you economic support?,"B35a. Child 2 - If yes, how much per month?",B36. Child 2 - How often did the child help you with housework?,"B37. Child 2 - How often did the child take care of you (taking you to the doctor, etc.)?",B38. Child 2 - How often did the child spend time chatting with and listening to you?,"B2. Please tell us about Child 3.

B22. Child 3 - Gender",B23. Child 3 - Year of Birth,B24. Child 3 - Marital Status,B25. Child 3 - Parenthood Status,B25a. Child 3 - Gender composition of the child’s children:,B25b. Child 3 - Age profile of the child’s children:,B26. Child 3 - Highest educational level attained:,B27. Child 3 - Employment Status,B28. Child 3 - Distance from your residence,"B3. Think about your interactions and relationships with each child in the past six months.

B31. Child 3 - How close are you to the child?",B32. Child 3 - Did you offer the child economic support?,"B32a. Child 3 - If yes, how much per month?",B33. Child 3 - How often did you help the child with housework?,B34. Child 3 - How often did you provide grandchild care to the child?,B35. Child 3 - Did the child give you economic support?,"B35a. Child 3 - If yes, how much per month?",B36. Child 3 - How often did the child help you with housework?,"B37. Child 3 - How often did the child take care of you (taking you to the doctor, etc.)?",B38. Child 3 - How often did the child spend time chatting with and listening to you?,"B2. Please tell us about Child 4.

B22. Child 4 - Gender",B23. Child 4 - Year of Birth,B24. Child 4 - Marital Status,B25. Child 4 - Parenthood Status,B25a. Child 4 - Gender composition of the child’s children:,B25b. Child 4 - Age profile of the child’s children:,B26. Child 4 - Highest educational level attained:,B27. Child 4 - Employment Status,B28. Child 4 - Distance from your residence,"B3. Think about your interactions and relationships with each child in the past six months.

B31. Child 4 - How close are you to the child?",B32. Child 4 - Did you offer the child economic support?,"B32a. Child 4 - If yes, how much per month?",B33. Child 4 - How often did you help the child with housework?,B34. Child 4 - How often did you provide grandchild care to the child?,B35. Child 4 - Did the child give you economic support?,"B35a. Child 4 - If yes, how much per month?",B36. Child 4 - How often did the child help you with housework?,"B37. Child 4 - How often did the child take care of you (taking you to the doctor, etc.)?",B38. Child 4 - How often did the child spend time chatting with and listening to you?,"B2. Please tell us about Child 5.

B22. Child 5 - Gender",B23. Child 5 - Year of Birth,B24. Child 5 - Marital Status,B25. Child 5 - Parenthood Status,B25a. Child 5 - Gender composition of the child’s children:,B25b. Child 5 - Age profile of the child’s children:,B26. Child 5 - Highest educational level attained:,B27. Child 5 - Employment Status,B28. Child 5 - Distance from your residence,"B3. Think about your interactions and relationships with each child in the past six months.

B31. Child 5 - How close are you to the child?",B32. Child 5 - Did you offer the child economic support?,"B32a. Child 5 - If yes, how much per month?",B33. Child 5 - How often did you help the child with housework?,B34. Child 5 - How often did you provide grandchild care to the child?,B35. Child 5 - Did the child give you economic support?,"B35a. Child 5 - If yes, how much per month?",B36. Child 5 - How often did the child help you with housework?,"B37. Child 5 - How often did the child take care of you (taking you to the doctor, etc.)?",B38. Child 5 - How often did the child spend time chatting with and listening to you?,C1. Your gender:,C2. Your birth month:,C2. Your birth year:,C3. Your age in years:,C4. Your country/region of birth: - Selected Choice,"C4. Your country/region of birth: - Others, please specify: - Text",C5. Your race: - Selected Choice,"C5. Your race: - Others, please specify: - Text",C6. Your current marital status:,C7. Your educational level:,C8. Your employment status: - Selected Choice,"C8. Your employment status: - Retired (record previous occupation), please specifiy: - Text","C8. Your employment status: - Unemployed (able to work) (record previous occupation), please specify: - Text","C8. Your employment status: - Unemployed (unable to work) due to disability or other medical conditions (record previous occupation, if any), please specify: - Text","C8. Your employment status: - Others, please specify: - Text",C9. Personal monthly income:,C10. Household monthly income:,C11. Is this house you are currently being interviewed? - Selected Choice,"C11. Is this house you are currently being interviewed …? - Others, specify: - Text",C12. Do you own this house you are currently being interviewed? - Selected Choice,"C12. Do you own this house you are currently being interviewed? - Others, please specify: - Text","C13. Do you belong to a religion or religious denomination? If yes, which one? - Selected Choice","C13. Do you belong to a religion or religious denomination? If yes, which one? - Other religions, please specify: - Text","C14. In general, how would you rate your health?","C15. Overall, in the last 30 days, how much difficulty did you have with moving around?",C16. Do you have enough money to meet your needs?,C17. Have you withdrawn money from CPF after you reach age 55?,C17a. What did you use CPF money for? - Selected Choice,"C17a. What did you use CPF money for? - Other, please specify: - Text",C17b. Why not? Please specify:,"C18. In general, how satisfied are you with your relationship with your children?","C19. In general, how satisfied are you with your relationship with your friends?",D1. Was someone else present during the interview? - Selected Choice,"D1. Was someone else present during the interview? - Yes, please indicate: - Text",D2. Did the respondent have hearing problem?,D3. Did the respondent have vision problem?,D4. Did the respondent use wheelchair?,D5. Did the respondent cough continually?,D6. Did the respondent have shortness of breath?,D7. What is your assessment of the respondents comprehension capability? - Selected Choice,"D7. What is your assessment of the respondents comprehension capability? - Very bad, please specify reason: - Text","D7. What is your assessment of the respondents comprehension capability? - Bad, please specify reason: - Text",D8. What is your evaluation of the respondents language ability with respect to self-expression?,D9. What is your assessment of the respondents cooperation?,D10. What is your evaluation of the accuracy and completeness of the respondents answers?
2302027,2302,Not Often,Not Often,Sometimes,Never,Sometimes,Never,Often,Never,Never,Often,Sometimes,Often,Often,Often,Often,Not Often,Often,Sometimes,Sometimes,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,All of the time,All of the time,More than half of the time,Most of the time,More than half of the time,2,1,Female,1977,Married,2 children,All boy,No child below age 6,Secondary school,Full-time employee (30 hours a week or more),Staying in the same housing estate,Very close,Yes,$200-399,Once every few months,Once every few months,Yes,$200-399,2-3 days a month,Often,3-4 days a week,Male,"40s-50s, younger than eldest daughter by 1-2 year old",Married,2 children,All boy,No child below age 6,Secondary school,Full-time employee (30 hours a week or more),Staying in the same housing estate,Very close,Yes,$200-399,Once every few months,Once every few months,Yes,$200-399,Once every few months,Often,1-2 days a week,Male,"40s to 50s, younger than eldest son by 1-2 year old",Married,3 and more children,At least one girl and one boy,No child below age 6,Secondary school,Full-time employee (30 hours a week or more),Staying in the same housing estate,Very close,Yes,$200-399,Once every few months,Once every few months,Yes,$200-399,Once every few months,Often,1-2 days a week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Mar,1941,82,Singapore,,Chinese,,Currently married,Primary,"Retired (record previous occupation), please specifiy:",,,,,Respondent refused to answer,Respondent refused to answer,HDB 1- and 2-Room Flats,,Self-owned,,Buddhism,,Good,Moderate,Moderately,No,,,No reason why ,Completely,Mostly,No,,No,No,No,No,No,Moderate,,,Moderate,Good,Low
2307025,2307,Never,Never,Often,Never,Often,Never,Often,Never,Never,Often,Often,Often,Sometimes,Often,Sometimes,Often,Often,Often,Often,Agree,Agree,Agree,Agree,Agree,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,0,1,Female,1986,Married,1 child,All girl,1 child below age 6,University-level degree,Full-time employee (30 hours a week or more),Living together in the same house,Close,No,,Almost everyday,Almost everyday,Yes,"$1,000 and above",1-2 days a week,Never,Almost everyday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Jan,1952,71,Singapore,,Chinese,,Currently married,Polytechnic diploma,"Retired (record previous occupation), please specifiy:",Port of Singapore Authority,,,,"$2,000 - $2,999","$10,000 and above",Condominiums (including executive condo) and other apartments,,Self-owned,,Christianity,,Fair,None,Mostly,No,,,Don't need,Mostly,Somewhat,"Yes, please indicate:","Wife, Grand daughter",No,No,No,No,No,Very good,,,Very good,Very good,Very high
2306030,2306,Not Often,Sometimes,Sometimes,Not Often,Often,Not Often,Often,Not Often,Never,Often,Often,Often,Often,Often,Often,Sometimes,Often,Often,Often,Agree,Agree,Agree,Agree,Agree,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,0,1,Female,1988,Married,2 children,At least one girl and one boy,2 or more children below age 6,University-level degree,Full-time employee (30 hours a week or more),Living together in the same house,Very close,No,,Never,3-4 days a week,No,,Never,Rarely,Almost everyday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Jul,1956,67,Singapore,,Chinese,,Currently married,Post-secondary (non-tertiary): General & Vocational (‘A’ level),Full-time employee (30 hours a week or more),,,,,"$7,000 - $7,999","$10,000 and above",Landed properties,,Owned by a child,,No religion,,Good,None,Completely,Yes,To finance daily living expenses and leisure or travel activities,,,Almost completely,Almost completely,No,,No,No,No,No,No,Very good,,,Very good,Very good,Very high
2303024,2303,Not Often,Never,Sometimes,Not Often,Not Often,Never,Sometimes,Often,Never,Often,Often,Not Often,Often,Often,Sometimes,Never,Sometimes,Not Often,Sometimes,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Most of the time,Most of the time,Most of the time,Most of the time,All of the time,0,1,Female,1973,Married,No child,,,Polytechnic diploma,Full-time employee (30 hours a week or more),Living together in the same house,Very close,No,,Never,Not applicable (the child has no child),Yes,$200-399,Almost everyday,Always,Almost everyday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Oct,1940,83,Singapore,,Chinese,,Currently married,Primary,"Retired (record previous occupation), please specifiy:",Hawker,,,,"Below $1,000","$4,000 - $4,999","HDB 5-room, 3 gen flats, and executive flats (e.g., executive apartments and executive maisonette)",,Owned by a child,,Buddhism,,Good,Moderate,Completely,Yes,To finance daily living expenses and leisure or travel activities,,,Completely,Completely,No,,No,Yes,No,No,No,Good,,,Good,Very good,Very high
2303025,2303,Never,Never,Often,Never,Often,Never,Often,Not Often,Never,Often,Often,Often,Often,Not Often,Never,Often,Not Often,Never,Not Often,Agree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Most of the time,More than half of the time,More than half of the time,Less than half of the time,All of the time,1,0,Male,1994,"Single, never married",No child,,,University-level degree,Full-time employee (30 hours a week or more),Living together in the same house,Very close,No,,Never,Not applicable (the child has no child),No,,3-4 days a week,Rarely,Almost everyday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,May,1958,65,Singapore,,Chinese,,Currently married,Polytechnic diploma,Full-time employee (30 hours a week or more),,,,,"$4,000 - $4,999","$8,000 - $8,999",HDB 4-room flats,,Self-owned,,Buddhism,,Fair,None,Completely,No,,,Not necessary at the moment,Completely,Completely,No,,No,Yes,No,No,No,Very good,,,Very good,Very good,Very high
2303011,2303,Sometimes,Not Often,Sometimes,Never,Often,Never,Often,Not Often,Never,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,All of the time,All of the time,All of the time,All of the time,All of the time,1,2,Female,1977,Married,3 and more children,At least one girl and one boy,No child below age 6,University-level degree,Full-time employee (30 hours a week or more),Within 20 minutes by car,Very close,No,,Never,Never,Yes,$200-399,Never,Never,Almost everyday,Male,1979,Married,3 and more children,At least one girl and one boy,No child below age 6,University-level degree,Full-time employee (30 hours a week or more),Living together in the same house,Very close,No,,Never,Never,Yes,$400-599,Never,Never,Almost everyday,Female,1987,Married,2 children,At least one girl and one boy,2 or more children below age 6,University-level degree,Full-time employee (30 hours a week or more),Within 20 minutes by car,Very close,No,,Never,Never,Yes,$400-599,Never,Never,Almost everyday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Apr,1955,68,Singapore,,Chinese,,Currently married,Secondary (‘O’ / ‘N’ level),"Retired (record previous occupation), please specifiy:",Promoter,,,,"Below $1,000","Below $1,000","HDB 5-room, 3 gen flats, and executive flats (e.g., executive apartments and executive maisonette)",,Owned by a child,,Buddhism,,Fair,None,Mostly,No,,,Collect interest,Completely,Completely,"Yes, please indicate:",Grandchildren,No,No,No,No,No,Very good,,,Very good,Very good,Very high
2303017,2303,Never,Never,Sometimes,Never,Often,Never,Often,Never,Never,Often,Often,Often,Often,Often,Often,Never,Often,Often,Often,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,All of the time,All of the time,All of the time,All of the time,All of the time,1,1,Female,1964,Married,2 children,All boy,No child below age 6,University-level degree,Full-time employee (30 hours a week or more),Within 20 minutes by car,Very close,No,,Never,Never,Yes,$200-399,Never,Never,1-2 days a week,Male,1967,Married,2 children,All boy,No child below age 6,University-level degree,Full-time employee (30 hours a week or more),Between 20 and 40 minutes by car,Very close,No,,Never,Never,Yes,$200-399,Never,Never,1-2 days a week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Aug,1938,85,Singapore,,Chinese,,Currently married,Secondary (‘O’ / ‘N’ level),Homemaker/housewife,,,,,"Below $1,000","Below $1,000",HDB 3-room flats,,Co-owned by self and spouse,,Christianity,,Good,Moderate,Mostly,No,,,"Never worked, no CPF",Completely,Completely,"Yes, please indicate:",Helper,No,No,No,No,No,Good,,,Very good,Very good,High
2307002,2307,Not Often,Sometimes,Often,Not Often,Often,Never,Often,Never,Not Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Agree,Agree,Agree,Agree,Agree,All of the time,Most of the time,Most of the time,Most of the time,Most of the time,0,2,Female,1987,Married,1 child,All girl,1 child below age 6,University-level degree,Full-time employee (30 hours a week or more),Living together in the same house,Very close,No,,3-4 days a week,3-4 days a week,Yes,$200-399,3-4 days a week,Often,Almost everyday,Female,1990,Married,No child,,,University-level degree,Full-time employee (30 hours a week or more),Within 20 minutes by car,Very close,No,,Once every few months,Not applicable (the child has no child),Yes,$200-399,Once every few months,Sometimes,1-2 days a week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Jun,1960,63,Singapore,,Indian,,Widowed,Post-secondary (non-tertiary): General & Vocational (‘A’ level),Full-time employee (30 hours a week or more),,,,,"$10,000 and above","$10,000 and above","HDB 5-room, 3 gen flats, and executive flats (e.g., executive apartments and executive maisonette)",,Self-owned,,Hinduism,,Good,None,Completely,No,,,No necessity to withdrawn. Have enough for expenditure.,Completely,Completely,"Yes, please indicate:","Daughter, Grand daughter, Niece",No,No,No,No,No,Very good,,,Very good,Very good,Very high
2307001,2307,Never,Never,Often,Never,Often,Never,Often,Never,Never,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,2,1,Female,1982,Married,2 children,At least one girl and one boy,No child below age 6,University-level degree,Self-employed,Within 20 minutes by car,Very close,No,,Never,1-2 days a week,Yes,Less than $200,Never,Never,3-4 days a week,Male,1987,Divorced or Separated,1 child,All girl,No child below age 6,Polytechnic diploma,Full-time employee (30 hours a week or more),Within 20 minutes by car,Close,No,,Never,1-2 days a week,No,,Never,Never,3-4 days a week,Male,1994,"Single, never married",No child,,,Polytechnic diploma,Full-time employee (30 hours a week or more),Staying in a different country,Very close,No,,Never,Not applicable (the child has no child),Yes,Less than $200,Never,Never,3-4 days a week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,May,1962,61,Singapore,,Chinese,,Currently married,Primary,Homemaker/housewife,,,,,"Below $1,000","Below $1,000",HDB 4-room flats,,Co-owned by self and spouse,,Buddhism,,Good,None,Moderately,No,,,Do not know how to,Completely,Completely,No,,No,No,No,No,No,Very good,,,Very good,Very good,High
2306021,2306,Sometimes,Often,Sometimes,Not Often,Sometimes,Never,Often,Sometimes,Not Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat agree,Agree,Agree,Agree,Somewhat agree,More than half of the time,Most of the time,Most of the time,Most of the time,Most of the time,3,0,Male,1973,"Single, never married",No child,,,Polytechnic diploma,Full-time employee (30 hours a week or more),Living together in the same house,Very close,No,,Almost everyday,Not applicable (the child has no child),Yes,$600-799,3-4 days a week,Always,Almost everyday,Male,1976,"Single, never married",No child,,,Polytechnic diploma,Self-employed,Living together in the same house,Very close,No,,Almost everyday,Not applicable (the child has no child),Yes,$600-799,3-4 days a week,Always,Almost everyday,Male,1981,Married,No child,,,Polytechnic diploma,Full-time employee (30 hours a week or more),Within 20 minutes by car,Very close,No,,Never,Not applicable (the child has no child),Yes,$600-799,Once every few months,Always,1-2 days a week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Oct,1951,72,Singapore,,Chinese,,Currently married,Primary,Homemaker/housewife,,,,,"Below $1,000","$4,000 - $4,999",HDB 4-room flats,,Co-owned by self and spouse,,Buddhism,,Poor,Mild,Mostly,No,,,She does not have any money in her CPF,Almost completely,Almost completely,No,,No,No,No,No,No,Good,,,Good,Very good,Average
